Column1	pietrocurve	ourcurve								
label:x										
7.8	-0.0331151	-1.00231								
7.825	-0.0329854	-1.00231								
7.85	-0.0328564	-1.00231								
7.875	-0.032728	-1.00231								
7.9	-0.0326003	-1.00231								
7.925	-0.0324732	-1.00231								
7.95	-0.0323467	-1.00231								
7.975	-0.0322208	-1.00231								
8	-0.0320955	-1.00231								
8.025	-0.0319709	-1.00231								
8.05	-0.0318468	-1.00231								
8.075	-0.0317233	-1.00231								
8.1	-0.0316004	-1.00231								
8.125	-0.0314781	-1.00231								
8.15	-0.0313564	-1.00231								
8.175	-0.0312352	-1.00231								
8.2	-0.0311146	-1.00231								
8.225	-0.0309945	-1.00231								
8.25	-0.030875	-1.00231								
8.275	-0.030756	-1.00231								
8.3	-0.0306376	-1.00231								
8.325	-0.0305197	-1.00231								
8.35	-0.0304024	-1.00231								
8.375	-0.0302855	-1.00231								
8.4	-0.0301692	-1.00231								
8.425	-0.0300534	-1.00231								
8.45	-0.0299382	-1.00231								
8.475	-0.0298234	-1.00231								
8.5	-0.0297092	-1.00231								
8.525	-0.0295954	-1.00231								
8.55	-0.0294822	-1.00231								
8.575	-0.0293694	-1.00231								
8.6	-0.0292572	-1.00231								
8.625	-0.0291454	-1.00231								
8.65	-0.0290341	-1.00231								
8.675	-0.0289233	-1.00231								
8.7	-0.028813	-1.00231								
8.725	-0.0287031	-1.00231								
8.75	-0.0285937	-1.00231								
8.775	-0.0284848	-1.00231								
8.8	-0.0283764	-1.00231								
8.825	-0.0282684	-1.00231								
8.85	-0.0281609	-1.00231								
8.875	-0.0280538	-1.00231								
8.9	-0.0279472	-1.00231								
8.925	-0.027841	-1.00231								
8.95	-0.0277353	-1.00231								
8.975	-0.02763	-1.00231								
9	-0.0275251	-1.00231								
9.025	-0.0274207	-1.00231								
9.05	-0.0273168	-1.00231								
9.075	-0.0272132	-1.00231								
9.1	-0.0271101	-1.00231								
9.125	-0.0270075	-1.00231								
9.15	-0.0269052	-1.00231								
9.175	-0.0268034	-1.00231								
9.2	-0.026702	-1.00231								
9.225	-0.026601	-1.00231								
9.25	-0.0265004	-1.00231								
9.275	-0.0264002	-1.00231								
9.3	-0.0263005	-1.00231								
9.325	-0.0262012	-1.00231								
9.35	-0.0261022	-1.00231								
9.375	-0.0260037	-1.00231								
9.4	-0.0259056	-1.00231								
9.425	-0.0258078	-1.00231								
9.45	-0.0257105	-1.00231								
9.475	-0.0256136	-1.00231								
9.5	-0.025517	-1.00231								
9.525	-0.0254209	-1.00231								
9.55	-0.0253251	-1.00231								
9.575	-0.0252297	-1.00231								
9.6	-0.0251347	-1.00231								
9.625	-0.0250401	-1.00231								
9.65	-0.0249459	-1.00231								
9.675	-0.0248521	-1.00231								
9.7	-0.0247586	-1.00231								
9.725	-0.0246655	-1.00231								
9.75	-0.0245728	-1.00231								
9.775	-0.0244805	-1.00231								
9.8	-0.0243885	-1.00231								
9.825	-0.0242969	-1.00231								
9.85	-0.0242056	-1.00231								
9.875	-0.0241148	-1.00231								
9.9	-0.0240243	-1.00231								
9.925	-0.0239341	-1.00231								
9.95	-0.0238443	-1.00231								
9.975	-0.0237549	-1.00231								
10	-0.0236658	-1.00231								
10.025	-0.0235771	-1.00231								
10.05	-0.0234887	-1.00231								
10.075	-0.0234007	-1.00231								
10.1	-0.0233131	-1.00231								
10.125	-0.0232257	-1.00231								
10.15	-0.0231388	-1.00231								
10.175	-0.0230522	-1.00231								
10.2	-0.0229659	-1.00231								
10.225	-0.0228799	-1.00231								
10.25	-0.0227944	-1.00231								
10.275	-0.0227091	-1.00231								
10.3	-0.0226242	-1.00231								
10.325	-0.0225396	-1.00231								
10.35	-0.0224553	-1.00231								
10.375	-0.0223714	-1.00231								
10.4	-0.0222879	-1.00231								
10.425	-0.0222046	-1.00231								
10.45	-0.0221217	-1.00231								
10.475	-0.0220391	-1.00231								
10.5	-0.0219568	-1.00231								
10.525	-0.0218749	-1.00231								
10.55	-0.0217932	-1.00231								
10.575	-0.0217119	-1.00231								
10.6	-0.021631	-1.00231								
10.625	-0.0215503	-1.00231								
10.65	-0.02147	-1.00231								
10.675	-0.0213899	-1.00231								
10.7	-0.0213102	-1.00231								
10.725	-0.0212308	-1.00231								
10.75	-0.0211518	-1.00231								
10.775	-0.021073	-1.00231								
10.8	-0.0209945	-1.00231								
10.825	-0.0209164	-1.00231								
10.85	-0.0208385	-1.00231								
10.875	-0.020761	-1.00231								
10.9	-0.0206837	-1.00231								
10.925	-0.0206068	-1.00231								
10.95	-0.0205302	-1.00231								
10.975	-0.0204538	-1.00231								
11	-0.0203778	-1.00231								
11.025	-0.0203021	-1.00231								
11.05	-0.0202266	-1.00231								
11.075	-0.0201515	-1.00231								
11.1	-0.0200767	-1.00231								
11.125	-0.0200021	-1.00231								
11.15	-0.0199278	-1.00231								
11.175	-0.0198539	-1.00231								
11.2	-0.0197802	-1.00231								
11.225	-0.0197068	-1.00231								
11.25	-0.0196337	-1.00231								
11.275	-0.0195609	-1.00231								
11.3	-0.0194884	-1.00231								
11.325	-0.0194161	-1.00231								
11.35	-0.0193442	-1.00231								
11.375	-0.0192725	-1.00231								
11.4	-0.0192011	-1.00231								
11.425	-0.01913	-1.00231								
11.45	-0.0190591	-1.00231								
11.475	-0.0189885	-1.00231								
11.5	-0.0189183	-1.00231								
11.525	-0.0188482	-1.00231								
11.55	-0.0187785	-1.00231								
11.575	-0.018709	-1.00231								
11.6	-0.0186398	-1.00231								
11.625	-0.0185709	-1.00231								
11.65	-0.0185023	-1.00231								
11.675	-0.0184339	-1.00231								
11.7	-0.0183658	-1.00231								
11.725	-0.0182979	-1.00231								
11.75	-0.0182303	-1.00231								
11.775	-0.018163	-1.00231								
11.8	-0.0180959	-1.00231								
11.825	-0.0180291	-1.00231								
11.85	-0.0179626	-1.00231								
11.875	-0.0178963	-1.00231								
11.9	-0.0178303	-1.00231								
11.925	-0.0177645	-1.00231								
11.95	-0.017699	-1.00231								
11.975	-0.0176338	-1.00231								
12	-0.0175688	-1.00231								
12.025	-0.017504	-1.00231								
12.05	-0.0174396	-1.00231								
12.075	-0.0173753	-1.00231								
12.1	-0.0173113	-1.00231								
12.125	-0.0172476	-1.00231								
12.15	-0.0171841	-1.00231								
12.175	-0.0171209	-1.00231								
12.2	-0.0170579	-1.00231								
12.225	-0.0169952	-1.00231								
12.25	-0.0169327	-1.00231								
12.275	-0.0168704	-1.00231								
12.3	-0.0168084	-1.00231								
12.325	-0.0167466	-1.00231								
12.35	-0.0166851	-1.00231								
12.375	-0.0166238	-1.00231								
12.4	-0.0165627	-1.00231								
12.425	-0.0165019	-1.00231								
12.45	-0.0164414	-1.00231								
12.475	-0.016381	-1.00231								
12.5	-0.0163209	-1.00231								
12.525	-0.0162611	-1.00231								
12.55	-0.0162014	-1.00231								
12.575	-0.016142	-1.00231								
12.6	-0.0160828	-1.00231								
12.625	-0.0160239	-1.00231								
12.65	-0.0159652	-1.00231								
12.675	-0.0159067	-1.00231								
12.7	-0.0158485	-1.00231								
12.725	-0.0157904	-1.00231								
12.75	-0.0157326	-1.00231								
12.775	-0.0156751	-1.00231								
12.8	-0.0156177	-1.00231								
12.825	-0.0155606	-1.00231								
12.85	-0.0155037	-1.00231								
12.875	-0.015447	-1.00231								
12.9	-0.0153906	-1.00231								
12.925	-0.0153343	-1.00231								
12.95	-0.0152783	-1.00231								
12.975	-0.0152225	-1.00231								
13	-0.0151669	-1.00231								
13.025	-0.0151116	-1.00231								
13.05	-0.0150564	-1.00231								
13.075	-0.0150015	-1.00231								
13.1	-0.0149467	-1.00231								
13.125	-0.0148922	-1.00231								
13.15	-0.0148379	-1.00231								
13.175	-0.0147839	-1.00231								
13.2	-0.01473	-1.00231								
13.225	-0.0146763	-1.00231								
13.25	-0.0146229	-1.00231								
13.275	-0.0145696	-1.00231								
13.3	-0.0145166	-1.00231								
13.325	-0.0144638	-1.00231								
13.35	-0.0144111	-1.00231								
13.375	-0.0143587	-1.00231								
13.4	-0.0143065	-1.00231								
13.425	-0.0142545	-1.00231								
13.45	-0.0142027	-1.00231								
13.475	-0.0141511	-1.00231								
13.5	-0.0140997	-1.00231								
13.525	-0.0140485	-1.00231								
13.55	-0.0139975	-1.00231								
13.575	-0.0139467	-1.00231								
13.6	-0.013896	-1.00231								
13.625	-0.0138456	-1.00231								
13.65	-0.0137954	-1.00231								
13.675	-0.0137454	-1.00231								
13.7	-0.0136956	-1.00231								
13.725	-0.0136459	-1.00231								
13.75	-0.0135965	-1.00231								
13.775	-0.0135473	-1.00231								
13.8	-0.0134982	-1.00231								
13.825	-0.0134494	-1.00231								
13.85	-0.0134007	-1.00231								
13.875	-0.0133522	-1.00231								
13.9	-0.0133039	-1.00231								
13.925	-0.0132558	-1.00231								
13.95	-0.0132079	-1.00231								
13.975	-0.0131602	-1.00231								
14	-0.0131126	-1.00231								
14.025	-0.0130653	-1.00231								
14.05	-0.0130181	-1.00231								
14.075	-0.0129711	-1.00231								
14.1	-0.0129243	-1.00231								
14.125	-0.0128777	-1.00231								
14.15	-0.0128312	-1.00231								
14.175	-0.012785	-1.00231								
14.2	-0.0127389	-1.00231								
14.225	-0.012693	-1.00231								
14.25	-0.0126473	-1.00231								
14.275	-0.0126017	-1.00231								
14.3	-0.0125564	-1.00231								
14.325	-0.0125112	-1.00231								
14.35	-0.0124662	-1.00231								
14.375	-0.0124213	-1.00231								
14.4	-0.0123767	-1.00231								
14.425	-0.0123322	-1.00231								
14.45	-0.0122878	-1.00231								
14.475	-0.0122437	-1.00231								
14.5	-0.0121997	-1.00231								
14.525	-0.0121559	-1.00231								
14.55	-0.0121123	-1.00231								
14.575	-0.0120688	-1.00231								
14.6	-0.0120256	-1.00231								
14.625	-0.0119824	-1.00231								
14.65	-0.0119395	-1.00231								
14.675	-0.0118967	-1.00231								
14.7	-0.0118541	-1.00231								
14.725	-0.0118116	-1.00231								
14.75	-0.0117693	-1.00231								
14.775	-0.0117272	-1.00231								
14.8	-0.0116853	-1.00231								
14.825	-0.0116435	-1.00231								
14.85	-0.0116018	-1.00231								
14.875	-0.0115604	-1.00231								
14.9	-0.0115191	-1.00231								
14.925	-0.0114779	-1.00231								
14.95	-0.0114369	-1.00231								
14.975	-0.0113961	-1.00231								
15	-0.0113554	-1.00231								
15.025	-0.0113149	-1.00231								
15.05	-0.0112746	-1.00231								
15.075	-0.0112344	-1.00231								
15.1	-0.0111943	-1.00231								
15.125	-0.0111544	-1.00231								
15.15	-0.0111147	-1.00231								
15.175	-0.0110751	-1.00231								
15.2	-0.0110357	-1.00231								
15.225	-0.0109965	-1.00231								
15.25	-0.0109574	-1.00231								
15.275	-0.0109184	-1.00231								
15.3	-0.0108796	-1.00231								
15.325	-0.0108409	-1.00231								
15.35	-0.0108024	-1.00231								
15.375	-0.0107641	-1.00231								
15.4	-0.0107259	-1.00231								
15.425	-0.0106878	-1.00231								
15.45	-0.0106499	-1.00231								
15.475	-0.0106121	-1.00231								
15.5	-0.0105745	-1.00231								
15.525	-0.0105371	-1.00231								
15.55	-0.0104997	-1.00231								
15.575	-0.0104626	-1.00231								
15.6	-0.0104255	-1.00231								
15.625	-0.0103886	-1.00231								
15.65	-0.0103519	-1.00231								
15.675	-0.0103153	-1.00231								
15.7	-0.0102788	-1.00231								
15.725	-0.0102425	-1.00231								
15.75	-0.0102064	-1.00231								
15.775	-0.0101703	-1.00231								
15.8	-0.0101344	-1.00231								
15.825	-0.0100987	-1.00231								
15.85	-0.0100631	-1.00231								
15.875	-0.0100276	-1.00231								
15.9	-0.00999225	-1.00231								
15.925	-0.00995705	-1.00231								
15.95	-0.00992199	-1.00231								
15.975	-0.00988707	-1.00231								
16	-0.00985228	-1.00231								
16.025	-0.0209229	-2.13604								
16.05	-0.0197759	-1.62387								
16.075	-0.0183902	-1.21064								
16.1	-0.0171336	-0.901896								
16.125	-0.0159959	-0.671881								
16.15	-0.0149591	-0.500537								
16.175	-0.0140086	-0.372899								
16.2	-0.0131327	-0.277819								
